Depth(m) Vp(km/s) Vs(km/s) density(gm/cc) gr nphi impedance(kg/(m^2*s))
2078 2.372 1.008 2.249 93.072 0.413 5334.63
2078.2 2.345 0.957 2.24 96.548 0.428 5252.8
2078.3 2.284 0.914 2.226 99.909 0.413 5084.18
2078.5 2.293 0.914 2.229 106.74 0.431 5111.1
2078.6 2.298 0.949 2.232 106.32 0.433 5129.14
2078.8 2.304 0.912 2.234 102.53 0.424 5147.14
2078.9 2.301 0.903 2.231 96.56 0.431 5133.53
2079.1 2.287 0.902 2.221 90.516 0.441 5079.43
2079.2 2.296 0.92 2.22 88.505 0.453 5097.12
2079.4 2.318 0.92 2.236 92.054 0.446 5183.05
2079.5 2.305 0.931 2.244 101.43 0.442 5172.42
2079.7 2.308 0.981 2.25 108.49 0.459 5193
2079.9 2.33 0.948 2.26 115.98 0.435 5265.8
2080 2.341 0.955 2.266 115.21 0.438 5304.71
2080.2 2.348 0.955 2.264 118.31 0.429 5315.87
2080.3 2.368 0.991 2.258 114.66 0.443 5346.94
2080.5 2.372 0.989 2.251 117.76 0.42 5339.37
2080.6 2.38 0.991 2.252 114.68 0.42 5359.76
2080.8 2.38 0.991 2.25 113.07 0.432 5355
2080.9 2.378 0.992 2.262 108.74 0.41 5379.04
2081.1 2.378 0.992 2.262 105.16 0.402 5379.04
2081.2 2.37 0.986 2.267 105.79 0.396 5372.79
2081.4 2.376 0.984 2.263 105.98 0.435 5376.89
2081.5 2.389 0.954 2.266 105.46 0.423 5413.47
2081.7 2.367 0.943 2.268 101.71 0.428 5368.36
2081.8 2.329 0.943 2.278 94.574 0.41 5305.46
2082 2.313 0.916 2.278 93.928 0.419 5269.01
2082.1 2.287 0.908 2.276 95.72 0.403 5205.21
2082.3 2.28 0.906 2.252 104.47 0.407 5134.56
2082.4 2.284 0.884 2.232 110.61 0.412 5097.89
2082.6 2.284 0.889 2.214 113.47 0.423 5056.78
2082.7 2.285 0.889 2.219 114.98 0.41 5070.42
2082.9 2.298 0.88 2.243 111.51 0.408 5154.41
2083.1 2.294 0.909 2.243 112.76 0.407 5145.44
2083.2 2.299 0.887 2.241 118.63 0.42 5152.06
2083.4 2.308 0.937 2.225 128.35 0.427 5135.3
2083.5 2.336 0.937 2.219 136.51 0.451 5183.58
2083.7 2.364 0.919 2.207 136.01 0.445 5217.35
2083.8 2.364 0.987 2.231 126.79 0.438 5274.08
2084 2.376 0.982 2.252 111.51 0.402 5350.75
2084.1 2.364 0.98 2.277 93.771 0.403 5382.83
2084.3 2.343 0.98 2.273 86.978 0.401 5325.64
2084.4 2.346 0.967 2.268 89.525 0.412 5320.73
2084.6 2.358 0.966 2.267 98.44 0.411 5345.59
2084.7 2.359 0.976 2.264 103.25 0.434 5340.78
2084.9 2.363 0.983 2.26 103.29 0.425 5340.38
2085 2.374 0.986 2.25 99.647 0.431 5341.5
2085.2 2.368 0.986 2.255 98.14 0.422 5339.84
2085.3 2.366 0.981 2.266 95.972 0.426 5361.36
2085.5 2.353 0.98 2.27 97.307 0.432 5341.31
2085.6 2.35 0.967 2.264 100.67 0.422 5320.4
2085.8 2.336 0.941 2.252 102.83 0.41 5260.67
2085.9 2.352 0.941 2.25 104.61 0.419 5292
2086.1 2.349 0.989 2.245 104.84 0.426 5273.51
2086.3 2.333 0.986 2.252 103.04 0.434 5253.92
2086.4 2.33 0.96 2.256 99.077 0.439 5256.48
